sample_id,sample,pangolin_lineage,nextclade_clade,vadr_p/f,fastqc_raw_reads_1,fastqc_raw_reads_2,fastp_reads_passed,depth_after_trimming,1X_coverage_after_trimming,num_pos_100X,insert_size_before_trimming,insert_size_after_trimming,ivar_num_variants_identified,bedtools_num_failed_amplicons,samtools_num_failed_amplicons,num_N,num_degenerage,num_non-ambiguous,num_total,cleaner_version,aligner_version,trimmer_version,ivar_version,vadr_model,vadr_alerts,nextclade_qc.overallScore,nextclade_qc.overallStatus,pangolin_scorpio_call,pangolin_version,pangolin_pangolin_version,pangolin_pangoLEARN_version,pangolin_pango_version,pangolin_status
ERR5181310,ERR5181310,B.1.525,21D (Eta),FAIL,912571,912571,1819962,11314.8,99.6288,29711,392.6,392.6,35,0,0,94,0,29706,29800,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,DELETION_OF_FEATURE(deletins),0.000000,good,Eta (B.1.525-like),PLEARN-v1.2.101,3.1.17,2021-11-25,v1.2.101,passed_qc
SRR16298165,SRR16298165,None,20B,PASS,533855,533855,1059492,4104.92,44.7781,10935,158.5,158.6,6,46,46,15977,0,10918,26895,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,3371.307668,bad,,PANGO-v1.2.101,3.1.17,2021-11-25,v1.2.101,fail
ERR5181360,ERR5181360,B.1.525,21D (Eta),PASS,1500457,1500457,2988662,18562.9,99.8763,29748,400.0,400.1,34,0,0,212,0,29665,29877,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,0.000000,good,Eta (B.1.525-like),PANGO-v1.2.101,3.1.17,2021-11-25,v1.2.101,passed_qc
SRR13486908,SRR13486908,B.1.385,20A,PASS,3297513,3297513,6323766,15199.4,100,29870,258.4,258.4,17,0,0,33,0,29870,29903,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,1.562500,good,,PANGO-v1.2.101,3.1.17,2021-11-25,v1.2.101,passed_qc
SRR16298162,SRR16298162,None,,,15303,15303,16538,17.0834,99.2476,0,123.3,123.9,0,2,89,29798,0,0,29798,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,,,,,,PANGO-v1.2.101,3.1.17,2021-11-25,v1.2.101,fail
SRR16298161,SRR16298161,None,20C,FAIL,188463,188463,368960,869.357,67.0769,12782,127.9,128.0,13,24,39,16274,0,12795,29069,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,3556.506187,bad,,PANGO-v1.2.101,3.1.17,2021-11-25,v1.2.101,fail
SRR13004400,SRR13004400,B.1.264,20C,PASS,34961,34961,66438,487.73,99.7726,28363,384.6,385.1,7,0,0,1434,0,28401,29835,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,17.640000,good,,PLEARN-v1.2.101,3.1.17,2021-11-25,v1.2.101,passed_qc
SRR16298164,SRR16298164,None,,,37159,37159,74240,0.0768485,4.21028,0,134.2,134.9,0,98,98,29849,0,0,29849,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,,,,,,PANGO-v1.2.101,3.1.17,2021-11-25,v1.2.101,fail
SRR16298170,SRR16298170,A.1,19B,PASS,606680,606680,1197492,4602.22,90.4692,24992,162.0,162.0,3,1,2,4824,0,24993,29817,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,280.748642,bad,,PLEARN-v1.2.101,3.1.17,2021-11-25,v1.2.101,passed_qc
SRR13690340,SRR13690340,B.1.232,20A,PASS,333889,333889,666534,2900.88,99.9632,29573,193.5,193.6,18,0,0,330,1,29572,29903,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,3.790123,good,,PLEARN-v1.2.101,3.1.17,2021-11-25,v1.2.101,passed_qc
SRR13126740,SRR13126740,B.1,20A,PASS,33706,33706,66504,312.998,98.0537,22433,151.1,151.1,4,0,8,7384,1,22480,29865,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,689.382112,bad,,PLEARN-v1.2.101,3.1.17,2021-11-25,v1.2.101,passed_qc
SRR13297857,SRR13297857,B.1.450,20C,PASS,51105,51105,55578,381.584,99.6756,26680,388.2,388.6,4,0,0,3068,0,26738,29806,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,105.100466,bad,,PLEARN-v1.2.101,3.1.17,2021-11-25,v1.2.101,passed_qc
SRR12774785,SRR12774785,B.1.287,20C,PASS,29696,29696,58340,269.187,99.0402,25000,147.7,147.7,6,0,1,4849,1,25041,29891,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,284.860096,bad,,PLEARN-v1.2.101,3.1.17,2021-11-25,v1.2.101,passed_qc
SRR13690003,SRR13690003,B.1.2,20C,PASS,753605,753605,1503954,6721.78,99.9666,29618,197.7,197.7,18,0,0,275,7,29611,29893,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,49.000000,mediocre,,PLEARN-v1.2.101,3.1.17,2021-11-25,v1.2.101,passed_qc
SRR16298169,SRR16298169,None,19B,PASS,223543,223543,442810,1527.85,91.9506,19494,157.2,157.2,3,4,14,10190,1,19536,29727,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,1342.729767,bad,,PANGO-v1.2.101,3.1.17,2021-11-25,v1.2.101,fail
SRR14241199,SRR14241199,B.1.526,21F (Iota),PASS,222498,222498,405236,3010.42,99.7994,28437,384.8,384.9,24,0,0,1394,0,28439,29833,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,16.417503,good,Iota (B.1.526-like),PLEARN-v1.2.101,3.1.17,2021-11-25,v1.2.101,passed_qc
SRR12833718,SRR12833718,B.1.1.174,20B,PASS,651160,651160,1298520,5611.08,97.5655,27396,185.7,185.7,14,0,1,2161,8,27396,29565,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,111.681444,bad,,PLEARN-v1.2.101,3.1.17,2021-11-25,v1.2.101,passed_qc
ERR5771988,ERR5771988,B.1.617.1,21B (Kappa),PASS,1111192,1111192,2219762,13813,99.7927,29490,392.3,392.3,29,1,1,383,0,29489,29872,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,0.094499,good,B.1.617.1-like,PLEARN-v1.2.101,3.1.17,2021-11-25,v1.2.101,passed_qc
SRR13687078,SRR13687078,B.1.1.362,20B,PASS,33826,33826,66586,314.888,99.6288,27194,152.0,152.0,9,0,0,2584,0,27302,29886,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,71.559067,mediocre,,PLEARN-v1.2.101,3.1.17,2021-11-25,v1.2.101,passed_qc
SRR16298159,SRR16298159,None,,,27131,27131,49602,0.308631,18.5232,0,149.3,149.2,0,98,98,29550,0,0,29550,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,,,,,,PANGO-v1.2.101,3.1.17,2021-11-25,v1.2.101,fail
SRR13195052,SRR13195052,B.1.1.139,20B,PASS,416419,416419,830676,3600.39,99.9799,29738,195.3,195.3,10,0,0,151,0,29751,29902,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,0.000000,good,,PLEARN-v1.2.101,3.1.17,2021-11-25,v1.2.101,passed_qc
SRR12763543,SRR12763543,B.1.1.463,20B,PASS,1236202,1236202,2465766,10439.4,99.1907,27649,181.4,181.4,7,0,3,2245,0,27650,29895,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,51.893347,mediocre,,PLEARN-v1.2.101,3.1.17,2021-11-25,v1.2.101,passed_qc
SRR11494584,SRR11494584,B.4.5,19A,PASS,604651,604651,1192916,5632.64,99.7492,29782,244.2,244.2,5,0,0,46,0,29782,29828,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,0.000000,good,,PANGO-v1.2.101,3.1.17,2021-11-25,v1.2.101,passed_qc
SRR13422802,SRR13422802,B.1.427,21C (Epsilon),PASS,146635,146635,287962,2100.45,99.5419,29344,384.7,384.9,19,0,0,492,0,29344,29836,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,0.505679,good,Epsilon (B.1.427-like),PLEARN-v1.2.101,3.1.17,2021-11-25,v1.2.101,passed_qc
SRR12751757,SRR12751757,D.2,20F,PASS,497470,497470,984480,4591.19,97.9734,24303,214.5,214.5,14,0,2,5544,1,24309,29854,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,378.222716,bad,,PLEARN-v1.2.101,3.1.17,2021-11-25,v1.2.101,passed_qc
SRR13193342,SRR13193342,B.1.578,20C,PASS,78530,78530,152804,1109.75,99.9866,29354,572.6,572.9,10,0,0,528,0,29375,29903,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,0.713086,good,,PLEARN-v1.2.101,3.1.17,2021-11-25,v1.2.101,passed_qc
SRR13089080,SRR13089080,B.1.589,20C,PASS,37630,37630,56160,396.898,99.7358,29110,404.4,405.1,9,0,0,705,0,29119,29824,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,2.250000,good,,PLEARN-v1.2.101,3.1.17,2021-11-25,v1.2.101,passed_qc
SRR16298175,SRR16298175,None,19A,PASS,142646,142646,282724,182.947,62.2011,6180,156.0,156.1,2,50,66,23681,0,6183,29864,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,7498.918532,bad,,PANGO-v1.2.101,3.1.17,2021-11-25,v1.2.101,fail
ERR5743893,ERR5743893,B.1.617.1,21B (Kappa),PASS,198314,198314,396010,1936.44,98.6991,27705,386.5,386.5,23,1,1,2100,0,27705,29805,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,44.444444,mediocre,B.1.617.1-like,PLEARN-v1.2.101,3.1.17,2021-11-25,v1.2.101,passed_qc
SRR13511054,SRR13511054,B.1.526,21F (Iota),PASS,102908,102908,202016,1486.93,99.8361,29772,384.9,385.1,22,0,0,72,0,29772,29844,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,0.000000,good,Iota (B.1.526-like),PLEARN-v1.2.101,3.1.17,2021-11-25,v1.2.101,passed_qc
SRR13129709,SRR13129709,D.3,20B,PASS,568486,568486,1112336,5076.84,99.8328,29568,218.4,218.4,14,0,0,285,0,29568,29853,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,0.000000,good,,PLEARN-v1.2.101,3.1.17,2021-11-25,v1.2.101,passed_qc
SRR13062553,SRR13062553,B.1.265,20C,PASS,20718,20718,40946,296.319,99.8161,28023,393.2,393.9,6,0,0,1767,0,28081,29848,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,29.521111,good,,PLEARN-v1.2.101,3.1.17,2021-11-25,v1.2.101,passed_qc
SRR12212912,SRR12212912,B.1.112,20A,PASS,274115,274115,542002,2530.88,99.9565,29461,269.0,269.1,10,0,0,439,0,29464,29903,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,0.265034,good,,PLEARN-v1.2.101,3.1.17,2021-11-25,v1.2.101,passed_qc
SRR13500958,SRR13500958,P.2,20B,PASS,73899,73899,146510,1012.95,99.7659,28045,382.1,382.3,22,0,0,1771,0,28062,29833,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,29.682318,good,Zeta (P.2-like),PLEARN-v1.2.101,3.1.17,2021-11-25,v1.2.101,passed_qc
SRR12733606,SRR12733606,B.1.390,20A,PASS,776002,776002,1407648,667.97,99.9231,29301,204.4,204.5,7,0,0,585,1,29311,29897,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,2.114198,good,,PLEARN-v1.2.101,3.1.17,2021-11-25,v1.2.101,passed_qc
SRR12530461,SRR12530461,B.1.1.431,20B,PASS,584532,584532,1155714,5371.18,99.5686,27717,241.3,241.3,16,0,1,2140,0,27725,29865,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,46.441701,mediocre,,PLEARN-v1.2.101,3.1.17,2021-11-25,v1.2.101,passed_qc
SRR13574337,SRR13574337,B.1.375,20C,PASS,1245538,1245538,2171070,1625.8,99.9967,29834,286.0,286.0,15,0,0,64,0,29833,29897,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,0.000000,good,,PANGO-v1.2.101,3.1.17,2021-11-25,v1.2.101,passed_qc
SRR16298160,SRR16298160,None,20A,PASS,14341,14341,28322,113.449,96.1342,11528,173.3,173.6,5,7,37,18104,0,11608,29712,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,4348.181289,bad,,PANGO-v1.2.101,3.1.17,2021-11-25,v1.2.101,fail
SRR12192434,SRR12192434,B.1.336,20C,FAIL,22164,22164,42914,182.928,99.9599,28314,181.9,182.1,4,0,0,1507,1,28383,29891,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,20.984211,good,,PLEARN-v1.2.101,3.1.17,2021-11-25,v1.2.101,passed_qc
SRR16298173,SRR16298173,B,19A,PASS,138431,138431,272324,1042.65,93.4053,25153,164.0,164.1,0,0,0,4682,1,25156,29839,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,264.400878,bad,,PLEARN-v1.2.101,3.1.17,2021-11-25,v1.2.101,passed_qc
SRR13606410,SRR13606410,P.2,20B,PASS,92107,92107,182852,1313.67,99.7358,29782,382.8,383.0,20,0,0,42,0,29782,29824,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,0.000000,good,Zeta (P.2-like),PANGO-v1.2.101,3.1.17,2021-11-25,v1.2.101,passed_qc
SRR16298166,SRR16298166,None,,,6343,6343,4488,0.119018,9.70471,0,151.9,151.9,0,98,98,26645,0,0,26645,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,,,,,,PANGO-v1.2.101,3.1.17,2021-11-25,v1.2.101,fail
SRR13433883,SRR13433883,B.1.258.23,20A,PASS,106223,106223,211024,959.652,99.9465,28511,280.2,280.3,25,0,3,1360,0,28537,29897,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,15.412894,good,,PLEARN-v1.2.101,3.1.17,2021-11-25,v1.2.101,passed_qc
SRR16298157,SRR16298157,None,,,1691,1691,1732,0.0017724,0.0902919,0,26.5,26.5,0,98,98,18116,0,0,18116,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,,,,,,PANGO-v1.2.101,3.1.17,2021-11-25,v1.2.101,fail
SRR13527262,SRR13527262,B.1.1.450,20B,PASS,209689,209689,418656,1826.79,97.9266,24895,184.7,184.7,11,1,4,4967,0,24932,29899,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,298.777627,bad,,PLEARN-v1.2.101,3.1.17,2021-11-25,v1.2.101,passed_qc
SRR13297853,SRR13297853,B.1.323,20C,PASS,372300,372300,707438,4693.56,99.9131,29782,538.9,538.9,7,0,0,67,0,29812,29879,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,0.000000,good,,PANGO-v1.2.101,3.1.17,2021-11-25,v1.2.101,passed_qc
SRR13526755,SRR13526755,B.1.1.418,20B,PASS,1068040,1068040,2109874,9131.92,99.8997,29794,177.2,177.2,18,0,0,79,0,29794,29873,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,0.000000,good,,PLEARN-v1.2.101,3.1.17,2021-11-25,v1.2.101,passed_qc
SRR13603869,SRR13603869,B.1.427,21C (Epsilon),PASS,35473,35473,70064,338.536,98.7526,24349,154.7,154.7,14,0,3,5497,0,24369,29866,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,370.491207,bad,Epsilon (B.1.427-like),PLEARN-v1.2.101,3.1.17,2021-11-25,v1.2.101,passed_qc
SRR16298168,SRR16298168,A.1,19B,PASS,331747,331747,653634,2920.05,98.659,28926,157.8,157.7,3,0,1,878,0,28931,29809,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,4.582771,good,,PLEARN-v1.2.101,3.1.17,2021-11-25,v1.2.101,passed_qc
SRR13001544,SRR13001544,B.1.199,20A,PASS,152965,152965,304434,2173.23,99.8763,29782,381.4,381.5,6,0,0,84,0,29782,29866,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,0.000000,good,,PANGO-v1.2.101,3.1.17,2021-11-25,v1.2.101,passed_qc
SRR16298172,SRR16298172,None,19A,PASS,2604,2604,5108,21.5379,99.7826,194,198.1,200.7,0,2,86,29642,0,196,29838,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,11810.054376,bad,,PANGO-v1.2.101,3.1.17,2021-11-25,v1.2.101,fail
SRR13668148,SRR13668148,B.1.570,20C,PASS,200629,200629,343466,1570.58,99.271,23970,151.5,151.5,9,0,0,5890,0,24004,29894,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,428.643347,bad,,PLEARN-v1.2.101,3.1.17,2021-11-25,v1.2.101,passed_qc
SRR12833927,SRR12833927,B.1.1.514,20B,PASS,1287220,1287220,2567540,11353.4,98.853,29478,191.5,191.5,8,0,1,95,0,29478,29573,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,0.000000,good,,PLEARN-v1.2.101,3.1.17,2021-11-25,v1.2.101,passed_qc
SRR13195337,SRR13195337,B.1.309,20C,PASS,2277602,2277602,4496360,14588.3,99.7425,29804,114.4,114.4,14,0,0,28,0,29798,29826,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,0.000000,good,,PANGO-v1.2.101,3.1.17,2021-11-25,v1.2.101,passed_qc
SRR13195265,SRR13195265,B.1.1.205,20B,PASS,1946500,1946500,3840040,11784.8,99.7191,29766,105.3,105.3,9,0,0,50,0,29769,29819,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,0.000000,good,,PLEARN-v1.2.101,3.1.17,2021-11-25,v1.2.101,passed_qc
ERR5749609,ERR5749609,B.1.617.2,21J (Delta),PASS,2323723,2323723,4641922,28881.5,99.9799,29770,392.1,392.1,35,0,0,282,0,29604,29886,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,0.000000,good,Delta (B.1.617.2-like),PLEARN-v1.2.101,3.1.17,2021-11-25,v1.2.101,passed_qc
SRR12661075,SRR12661075,B.1.452,20C,PASS,3399069,3399069,6783688,28944.7,100,29844,181.1,181.1,8,0,0,58,0,29845,29903,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,0.000000,good,,PANGO-v1.2.101,3.1.17,2021-11-25,v1.2.101,passed_qc
ERR5743043,ERR5743043,B.1.617.2,21J (Delta),PASS,1890053,1890053,3772972,23492.7,99.7659,29659,392.6,392.6,34,0,0,254,0,29567,29821,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,0.000000,good,Delta (B.1.617.2-like),PLEARN-v1.2.101,3.1.17,2021-11-25,v1.2.101,passed_qc
ERR5691945,ERR5691945,B.1.351,"20H (Beta, V2)",PASS,1735046,1735046,3464980,21560.2,99.9799,29546,392.5,392.5,26,0,0,419,0,29462,29881,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,0.194252,good,Beta (B.1.351-like),PLEARN-v1.2.101,3.1.17,2021-11-25,v1.2.101,passed_qc
SRR16298163,SRR16298163,None,,,162,162,314,1.03434,42.6746,0,120.2,121.4,0,98,98,29725,0,0,29725,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,,,,,,PANGO-v1.2.101,3.1.17,2021-11-25,v1.2.101,fail
ERR5405022,ERR5405022,B.1.1.7,"20I (Alpha, V1)",PASS,154545,154545,302416,1356.24,99.7258,28386,188.7,188.7,37,0,0,1399,0,28406,29805,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,16.567915,good,Alpha (B.1.1.7-like),PLEARN-v1.2.101,3.1.17,2021-11-25,v1.2.101,passed_qc
SRR13358209,SRR13358209,B.1.1.440,20B,PASS,35450,35450,69674,324.214,99.8294,25955,148.7,148.7,6,0,1,3836,0,26029,29865,fastp 0.20.0,minimap2 : 2.23-r1111,samtools ampliconclip : samtools 1.13,iVar version 1.3.1,NC_045512,-,171.512977,bad,,PLEARN-v1.2.101,3.1.17,2021-11-25,v1.2.101,passed_qc
