sample_id,sample,pangolin_lineage,nextclade_clade,fastqc_raw_reads_1,fastqc_raw_reads_2,depth_after_trimming,1X_coverage_after_trimming,num_pos_100X,insert_size_after_trimming,ivar_num_variants_identified,bcftools_variants_identified,bedtools_num_failed_amplicons,samtools_num_failed_amplicons,num_N,num_degenerage,num_non-ambiguous,num_total,cleaner_version,aligner_version,trimmer_version,ivar_version,nextclade_qc.overallScore,nextclade_qc.overallStatus,pangolin_conflict,pangolin_ambiguity_score,pangolin_scorpio_call,pangolin_scorpio_support,pangolin_scorpio_conflict,pangolin_scorpio_notes,pangolin_version,pangolin_pangolin_version,pangolin_scorpio_version,pangolin_constellation_version,pangolin_is_designated,pangolin_qc_status,pangolin_qc_notes,pangolin_note,freyja_summarized,freyja_lineages,freyja_abundances,freyja_resid,seqyclean_PairsKept,seqyclean_Perc_Kept
SRR11577968,SRR11577968,B.1.320,20C,436687,436687,3908.91,99.7693,29624,0,7,7,0,0,207,0,29627,29834,ivar : iVar version 1.3.1,bwa : Version: 0.7.17-r1188,seqyclean : Version: 1.10.09 (2018-10-16),iVar version 1.3.1,0.000000,good,0.0,,,,,,PUSHER-v1.8,4.0.6,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: B.1.320(1/1),[('Other'  0.992723891019766)],['B.1.320'],[0.99272389],0.6609690453040331,433315,99.2278
SRR11915959,SRR11915959,B.35,19A,553601,553601,4599.47,99.8529,28759,0,8,48,0,1,1105,5,28756,29866,ivar : iVar version 1.3.1,bwa : Version: 0.7.17-r1188,seqyclean : Version: 1.10.09 (2018-10-16),iVar version 1.3.1,33.889232,mediocre,0.0,,,,,,PUSHER-v1.8,4.0.6,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.05,Usher placements: B.35(1/1),[('Other'  0.9868019551687629)],['B.35'],[0.98680196],8.133502169006327,542581,98.0094
SRR12162365,SRR12162365,B.1.1,20B,258545,258545,2036.28,99.6756,29564,0,9,9,0,0,242,0,29564,29806,ivar : iVar version 1.3.1,bwa : Version: 0.7.17-r1188,seqyclean : Version: 1.10.09 (2018-10-16),iVar version 1.3.1,0.000000,good,0.0,,,,,,PUSHER-v1.8,4.0.6,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1(1/1),[('Other'  0.9829944859999504)],['B.1.1.136' 'B.1.1.402' 'B.1.1.194' 'B.1.1.180' 'B.1.1.57' 'B.1.1.274'  'B.1.1.148' 'B.1.1.463' 'B.1.1.92'],[0.86641818 0.10617074 0.00277932 0.00157729 0.00143266 0.00129199  0.00121951 0.00107066 0.00103413],1.5339975645038009,244155,94.4342
SRR12192434,SRR12192434,B.1.336,20C,22164,22164,149.7,99.9599,25339,0,4,11,0,0,4352,0,25539,29891,ivar : iVar version 1.3.1,bwa : Version: 0.7.17-r1188,seqyclean : Version: 1.10.09 (2018-10-16),iVar version 1.3.1,225.222277,bad,0.0,,,,,,PUSHER-v1.8,4.0.6,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.15,Usher placements: B.1.336(6/6),[('Other'  0.9999999999914736)],['B.1.336' 'B.1.333'],[0.994253 0.005747],1.449546776376567,18803,84.8358
SRR12212912,SRR12212912,B.1.112,20A,274115,274115,2458.45,99.893,29415,0,10,11,0,0,480,0,29423,29903,ivar : iVar version 1.3.1,bwa : Version: 0.7.17-r1188,seqyclean : Version: 1.10.09 (2018-10-16),iVar version 1.3.1,0.444444,good,0.0,,,,,,PUSHER-v1.8,4.0.6,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1.112(1/1),[('Other'  0.9974651030075826)],['B.1.112'],[0.9974651],0.6090439953290001,267908,97.7356
SRR12530461,SRR12530461,B.1.1,20B,584532,584532,4994.48,99.4649,27617,0,16,17,0,1,2247,0,27617,29864,ivar : iVar version 1.3.1,bwa : Version: 0.7.17-r1188,seqyclean : Version: 1.10.09 (2018-10-16),iVar version 1.3.1,52.000123,mediocre,0.0,,,,,,PUSHER-v1.8,4.0.6,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.09,Usher placements: B.1.1(2/2),[('Other'  0.9703939810747845)],['B.1.1.213' 'B.1.1.402' 'B.1.1.174' 'B.1.1.274' 'B.1.1.192' 'B.1.1.283'  'B.1.1.89' 'B.1.1.194' 'B.1.1.43' 'B.1.533'],[0.91415241 0.02718763 0.00891243 0.00854701 0.00294768 0.00242256  0.00201342 0.00182306 0.00131349 0.0010743 ],3.577584903254084,575787,98.5039
SRR12661075,SRR12661075,B.1.452,20C,3399069,3399069,26574.4,100,29815,0,8,9,0,0,88,0,29815,29903,ivar : iVar version 1.3.1,bwa : Version: 0.7.17-r1188,seqyclean : Version: 1.10.09 (2018-10-16),iVar version 1.3.1,0.000000,good,0.0,,,,,,PANGO-v1.8,4.0.6,0.3.17,v0.1.10,True,pass,Ambiguous_content:0.02,Assigned from designation hash.,[('Other'  0.9865538134609476)],['B.1.452'],[0.98655381],0.5219594381346055,3018507,88.8039
SRR12733606,SRR12733606,B.1.390,20A,776002,776002,636.733,99.9799,29273,0,7,10,0,0,614,1,29282,29897,ivar : iVar version 1.3.1,bwa : Version: 0.7.17-r1188,seqyclean : Version: 1.10.09 (2018-10-16),iVar version 1.3.1,2.352483,good,0.0,,,,,,PUSHER-v1.8,4.0.6,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1.390(1/1),[('Other'  0.9985894800002555)],['B.1.390' 'B.1.557'],[0.997249   0.00134048],1.3111670291400404,653607,84.2275
SRR12751757,SRR12751757,D.2,20F,497470,497470,4292.07,97.5186,24044,0,14,28,0,3,5787,1,24061,29849,ivar : iVar version 1.3.1,bwa : Version: 0.7.17-r1188,seqyclean : Version: 1.10.09 (2018-10-16),iVar version 1.3.1,413.992716,bad,0.0,,,,,,PUSHER-v1.8,4.0.6,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.2,Usher placements: D.2(13/13),[('Other'  0.999146999999873)],['D.2'],[0.999147],2.011929144853948,492069,98.9143
SRR12763543,SRR12763543,B.1.1.463,20B,1236202,1236202,9470.23,99.1941,27551,0,7,10,0,5,2340,0,27555,29895,ivar : iVar version 1.3.1,bwa : Version: 0.7.17-r1188,seqyclean : Version: 1.10.09 (2018-10-16),iVar version 1.3.1,57.086420,mediocre,0.0,,,,,,PUSHER-v1.8,4.0.6,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.09,Usher placements: B.1.1.463(1/1),[('Other'  0.9808708089987518)],['B.1.1.463' 'B.1.1.71' 'B.1.1.231'],[0.97809008 0.00144988 0.00133085],0.6383475004073575,1093951,88.4929
SRR12774785,SRR12774785,B.1.287,20C,29696,29696,250.013,98.8663,24539,0,7,10,0,4,5293,1,24597,29891,ivar : iVar version 1.3.1,bwa : Version: 0.7.17-r1188,seqyclean : Version: 1.10.09 (2018-10-16),iVar version 1.3.1,342.975981,bad,0.0,,,,,,PUSHER-v1.8,4.0.6,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.19,Usher placements: B.1.287(1/1),[('Other'  1.0000000000000215)],['B.1.287' 'B.1.319' 'B.1.324'],[0.993243   0.00505051 0.00170649],0.4394224647772782,27583,92.8846
SRR12833718,SRR12833718,B.1.1.174,20B,651160,651160,5205.77,97.211,27112,0,14,39,0,3,2433,8,27120,29561,ivar : iVar version 1.3.1,bwa : Version: 0.7.17-r1188,seqyclean : Version: 1.10.09 (2018-10-16),iVar version 1.3.1,127.972500,bad,0.0,,,,,,PUSHER-v1.8,4.0.6,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.1,Usher placements: B.1.1.174(1/1),[('Other'  0.9986144471747955)],['B.1.1.174'],[0.99861445],2.5198505644603904,606671,93.1677
SRR12833927,SRR12833927,B.1.1.514,20B,1287220,1287220,10624,98.7493,29470,0,8,9,0,1,88,0,29473,29561,ivar : iVar version 1.3.1,bwa : Version: 0.7.17-r1188,seqyclean : Version: 1.10.09 (2018-10-16),iVar version 1.3.1,0.000000,good,0.0,,,,,,PUSHER-v1.8,4.0.6,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.514(1/1),[('Other'  0.9956199999981679)],['B.1.1.514'],[0.99562],0.5887335846335993,1210340,94.0274
SRR12901576,SRR12901576,B.1,20C,363267,363267,3151.37,99.3914,28880,0,7,7,0,0,1012,0,28888,29900,ivar : iVar version 1.3.1,bwa : Version: 0.7.17-r1188,seqyclean : Version: 1.10.09 (2018-10-16),iVar version 1.3.1,6.953964,good,0.0,,,,,,PUSHER-v1.8,4.0.6,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.05,Usher placements: B.1(1/1),[('Other'  0.9894937379980409)],['B.1.515' 'B.1.372' 'B.1.306' 'B.1.298'],[0.98271264 0.00309598 0.00262467 0.00106045],1.605234296209766,354907,97.6987
SRR13001544,SRR13001544,B.1.199,20A,152965,152965,1995.34,99.8796,29805,0,6,7,0,0,62,0,29805,29867,ivar : iVar version 1.3.1,bwa : Version: 0.7.17-r1188,seqyclean : Version: 1.10.09 (2018-10-16),iVar version 1.3.1,0.000000,good,0.0,,,,,,PANGO-v1.8,4.0.6,0.3.17,v0.1.10,True,pass,Ambiguous_content:0.02,Assigned from designation hash.,[('Other'  0.9887107280004006)],['B.1.199' 'B.1.378' 'B.1.545' 'B.1.393'],[0.98461941 0.00187441 0.00118064 0.00103627],0.7294932367468199,145024,94.8086
SRR13004400,SRR13004400,B.1.264,20C,34961,34961,478.153,99.7659,28339,0,7,7,0,0,1472,0,28361,29833,ivar : iVar version 1.3.1,bwa : Version: 0.7.17-r1188,seqyclean : Version: 1.10.09 (2018-10-16),iVar version 1.3.1,18.842030,good,0.0,,,,,,PUSHER-v1.8,4.0.6,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.06,Usher placements: B.1.264(1/1),[('Other'  0.9995227099998779)],['B.1.264' 'B.1.320'],[0.998175   0.00134771],0.7449484252986486,32748,93.6701
SRR13062553,SRR13062553,B.1.265,20C,20718,20718,286.989,99.7759,27878,0,6,9,0,0,1934,0,27902,29836,ivar : iVar version 1.3.1,bwa : Version: 0.7.17-r1188,seqyclean : Version: 1.10.09 (2018-10-16),iVar version 1.3.1,36.624911,mediocre,0.0,,,,,,PUSHER-v1.8,4.0.6,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.08,Usher placements: B.1.265(1/1),[('Other'  0.9999999999999897)],['B.1.265'],[1.],0.634246919461033,19623,94.7147
SRR13089080,SRR13089080,B.1.589,20C,37630,37630,381.88,99.7358,28855,0,9,9,0,0,900,0,28924,29824,ivar : iVar version 1.3.1,bwa : Version: 0.7.17-r1188,seqyclean : Version: 1.10.09 (2018-10-16),iVar version 1.3.1,4.938272,good,0.0,,,,,,PUSHER-v1.8,4.0.6,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.05,Usher placements: B.1.589(1/1),[('Other'  1.0000000000006435)],['B.1.589' 'B.1.306' 'B.1.37' 'B.1.22' 'B.1.81' 'B.1.439'],[0.99215791 0.00246609 0.00161031 0.00156908 0.00110132 0.00109529],0.6837990260814789,26337,69.9894
SRR13126740,SRR13126740,B.1.384,20A,33706,33706,283.858,97.6257,21822,0,4,10,0,10,7916,0,21880,29796,ivar : iVar version 1.3.1,bwa : Version: 0.7.17-r1188,seqyclean : Version: 1.10.09 (2018-10-16),iVar version 1.3.1,795.657833,bad,0.125,,,,,,PUSHER-v1.8,4.0.6,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.28,Usher placements: B.1(1/8) B.1.384(7/8),[('Other'  0.9999999999999798)],['B.1.384'],[1.],0.4250702074217659,31563,93.6421
SRR13129709,SRR13129709,D.3,20B,568486,568486,4611.04,99.8328,29547,0,14,14,0,0,304,0,29549,29853,ivar : iVar version 1.3.1,bwa : Version: 0.7.17-r1188,seqyclean : Version: 1.10.09 (2018-10-16),iVar version 1.3.1,0.000219,good,0.0,,,,,,PUSHER-v1.8,4.0.6,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: D.3(1/1),[('Other'  0.9957973393754935)],['D.3'],[0.99579734],0.7540556101956113,555853,97.7778
SRR13193342,SRR13193342,B.1,20C,78530,78530,1060.37,99.7759,29310,0,10,12,0,0,509,0,29327,29836,ivar : iVar version 1.3.1,bwa : Version: 0.7.17-r1188,seqyclean : Version: 1.10.09 (2018-10-16),iVar version 1.3.1,0.599191,good,0.0,,,,,,PUSHER-v1.8,4.0.6,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1(1/1),[('Other'  0.9981853259988552)],['B.1.320'],[0.99818533],2.116845179402226,74227,94.5206
SRR13195052,SRR13195052,B.1.1.139,20B,416419,416419,3289.94,99.9732,29621,0,10,11,0,0,269,0,29633,29902,ivar : iVar version 1.3.1,bwa : Version: 0.7.17-r1188,seqyclean : Version: 1.10.09 (2018-10-16),iVar version 1.3.1,0.000000,good,0.0,,,,,,PUSHER-v1.8,4.0.6,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.139(1/1),[('Other'  0.9981757570085352)],['B.1.1.139'],[0.99817576],0.9304229541818549,387426,93.0375
SRR13195265,SRR13195265,B.1.1.205,20B,1946500,1946500,7529.44,99.5954,29567,0,9,9,0,0,194,0,29588,29782,ivar : iVar version 1.3.1,bwa : Version: 0.7.17-r1188,seqyclean : Version: 1.10.09 (2018-10-16),iVar version 1.3.1,0.000000,good,0.0,,,,,,PUSHER-v1.8,4.0.6,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.205(1/1),[('Other'  0.9879382599984355)],['B.1.1.205' 'B.1.1.197' 'B.1.1.92' 'B.1.1.71'],[0.982222   0.00250878 0.00175029 0.00145719],0.8927006760053333,1035164,53.1808
SRR13195337,SRR13195337,B.1.309,20C,2277602,2277602,9910.91,99.6489,29782,0,14,14,0,0,16,0,29782,29798,ivar : iVar version 1.3.1,bwa : Version: 0.7.17-r1188,seqyclean : Version: 1.10.09 (2018-10-16),iVar version 1.3.1,0.000000,good,0.0,,,,,,PANGO-v1.8,4.0.6,0.3.17,v0.1.10,True,pass,Ambiguous_content:0.02,Assigned from designation hash.,[('Other'  0.9903760000002543)],['B.1.309'],[0.990376],0.8957858223202387,1320912,57.9957
SRR13297853,SRR13297853,B.1.323,20C,372300,372300,4575,99.9197,29805,0,7,11,0,0,74,0,29805,29879,ivar : iVar version 1.3.1,bwa : Version: 0.7.17-r1188,seqyclean : Version: 1.10.09 (2018-10-16),iVar version 1.3.1,0.000000,good,0.0,,,,,,PANGO-v1.8,4.0.6,0.3.17,v0.1.10,True,pass,Ambiguous_content:0.02,Assigned from designation hash.,[('Other'  0.9941779379912073)],['B.1.323'],[0.99417794],0.5776928122749417,316829,85.1005
SRR13297857,SRR13297857,B.1.450,20C,51105,51105,372.05,99.6756,26404,0,4,7,0,0,3192,0,26614,29806,ivar : iVar version 1.3.1,bwa : Version: 0.7.17-r1188,seqyclean : Version: 1.10.09 (2018-10-16),iVar version 1.3.1,114.727901,bad,0.5,,,,,,PUSHER-v1.8,4.0.6,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.12,Usher placements: B.1(1/2) B.1.450(1/2),[('Other'  0.9996290499951919)],['B.1.450' 'B.1.360' 'B.1.597' 'B.1.431' 'B.1.513' 'B.1.306' 'B.1.1.164'  'B.1.1.61' 'B.1.334' 'B.1.1.213' 'B.1.1.142' 'B.1.557' 'B.1.1.378'  'B.1.462' 'N.7' 'B.1.433'],[0.664336   0.29961458 0.00455581 0.00371747 0.0037037  0.00362319  0.00303951 0.00277008 0.0022779  0.00226757 0.00220264 0.0019305  0.00167159 0.00131579 0.00131406 0.00128866],1.082816574634727,25421,49.7427
SRR13358209,SRR13358209,B.1.1.440,20B,35450,35450,299.735,99.6455,25247,0,6,9,0,3,4476,0,25321,29797,ivar : iVar version 1.3.1,bwa : Version: 0.7.17-r1188,seqyclean : Version: 1.10.09 (2018-10-16),iVar version 1.3.1,239.217778,bad,0.0,,,,,,PUSHER-v1.8,4.0.6,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.16,Usher placements: B.1.1.440(1/1),[('Other'  0.9999999999997261)],['B.1.1.440'],[1.],0.37655257754829174,32711,92.2736
SRR13373851,SRR13373851,B.1.492,20C,184210,184210,1553.81,99.6455,29661,0,8,9,0,0,129,0,29668,29797,ivar : iVar version 1.3.1,bwa : Version: 0.7.17-r1188,seqyclean : Version: 1.10.09 (2018-10-16),iVar version 1.3.1,0.000000,good,0.0,,,,,,PUSHER-v1.8,4.0.6,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: B.1.492(1/1),[('Other'  0.9992850000000023)],['B.1.492'],[0.999285],1.1520581202898874,169443,91.9836
SRR13422799,SRR13422799,B.1.429,21C (Epsilon),76082,76082,954.433,99.8462,29253,0,31,31,0,1,638,0,29253,29891,ivar : iVar version 1.3.1,bwa : Version: 0.7.17-r1188,seqyclean : Version: 1.10.09 (2018-10-16),iVar version 1.3.1,5.907411,good,0.0,,Epsilon (B.1.429-like),1.0,0.0,scorpio call: Alt alleles 14; Ref alleles 0; Amb alleles 0; Oth alleles 0,PUSHER-v1.8,4.0.6,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1.429(1/1),[('Epsilon'  0.9988139999990485)],['B.1.429'],[0.998814],9.506507932009322,72210,94.9108
SRR13422802,SRR13422802,B.1.427,21C (Epsilon),146635,146635,1865.65,99.3445,29363,0,19,19,0,0,443,0,29363,29806,ivar : iVar version 1.3.1,bwa : Version: 0.7.17-r1188,seqyclean : Version: 1.10.09 (2018-10-16),iVar version 1.3.1,0.280508,good,0.0,,Epsilon (B.1.427-like),0.92,0.0,scorpio call: Alt alleles 12; Ref alleles 0; Amb alleles 1; Oth alleles 0,PUSHER-v1.8,4.0.6,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.03,Usher placements: B.1.427(1/1),[('Epsilon'  0.998269999996965)],['B.1.427'],[0.99827],2.5932039829313354,139244,94.9596
SRR13433883,SRR13433883,B.1.258.23,20A,106223,106223,892.565,99.8662,28371,0,25,27,0,3,1515,0,28378,29893,ivar : iVar version 1.3.1,bwa : Version: 0.7.17-r1188,seqyclean : Version: 1.10.09 (2018-10-16),iVar version 1.3.1,64.694444,mediocre,0.0,,,,,,PUSHER-v1.8,4.0.6,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.06,Usher placements: B.1.258.23(1/1),[('Other'  0.9999999999999977)],['B.1.258.23'],[1.],0.4943510022446659,103545,97.4789
SRR13486908,SRR13486908,B.1.385,20A,3297513,3297513,14336,100,29869,0,17,17,0,0,34,0,29869,29903,ivar : iVar version 1.3.1,bwa : Version: 0.7.17-r1188,seqyclean : Version: 1.10.09 (2018-10-16),iVar version 1.3.1,6.250000,good,0.0,,,,,,PANGO-v1.8,4.0.6,0.3.17,v0.1.10,True,pass,Ambiguous_content:0.02,Assigned from designation hash.,[('Other'  0.9984620435063583)],['B.1.385'],[0.99846204],3.620952693076005,3038569,92.1473
SRR13500958,SRR13500958,P.2,20B,73899,73899,964.395,99.7659,28015,0,22,23,0,0,1797,0,28036,29833,ivar : iVar version 1.3.1,bwa : Version: 0.7.17-r1188,seqyclean : Version: 1.10.09 (2018-10-16),iVar version 1.3.1,30.740864,mediocre,0.0,,Zeta (P.2-like),0.86,0.14,scorpio call: Alt alleles 6; Ref alleles 1; Amb alleles 0; Oth alleles 0,PUSHER-v1.8,4.0.6,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.08,Usher placements: P.2(1/1),[('Zeta'  0.9999999999989699)],['P.2'],[1.],2.2156887583671367,69791,94.4411
SRR13511054,SRR13511054,B.1.526,21F (Iota),102908,102908,1368.17,99.7693,29795,0,22,22,0,0,29,0,29795,29824,ivar : iVar version 1.3.1,bwa : Version: 0.7.17-r1188,seqyclean : Version: 1.10.09 (2018-10-16),iVar version 1.3.1,0.000000,good,0.0,,Iota (B.1.526-like),0.83,0.17,scorpio call: Alt alleles 19; Ref alleles 4; Amb alleles 0; Oth alleles 0,PUSHER-v1.8,4.0.6,0.3.17,v0.1.10,False,pass,Ambiguous_content:0.02,Usher placements: B.1.526(5/5),[('Iota'  0.998442000000223)],['B.1.526'],[0.998442],2.4611501180739337,98829,96.0363
